Region,LocationName,FO#,Loc,Svc,NOV,AIN,IGT,WMS,BAL,KON,ITE,Tot_EGMs,FRS,ACM,ITC,Total_PDF,Total_Computed,Month
Korea,CAVE,24,3168,Army,22.0,6.0,5.0,,8.0,,,41.0,1.0,2.0,2.0,46.0,46.0,
Korea,HUMPHREYS B/C,24,839,Army,11.0,4.0,4.0,,4.0,,,23.0,1.0,1.0,2.0,27.0,27.0,
Korea,MORNING CALM,24,3158,Army,22.0,15.0,6.0,,18.0,9.0,,70.0,1.0,2.0,2.0,75.0,75.0,
Europe,IRISH PUB,2,194,Army,14.0,4.0,10.0,,10.0,4.0,,42.0,1.0,2.0,3.0,48.0,48.0,May 2020
Europe,LCCC,2,195,Army,10.0,3.0,5.0,3.0,7.0,2.0,,30.0,1.0,2.0,2.0,35.0,35.0,May 2020
Europe,KAZABRA,2,196,Army,6.0,,4.0,,,2.0,,12.0,1.0,1.0,1.0,15.0,15.0,May 2020
Europe,STRIKERS,2,218,Army,11.0,4.0,7.0,2.0,6.0,3.0,,33.0,1.0,2.0,2.0,38.0,38.0,May 2020
Europe,GOLD MINE,2,1038,Army,8.0,4.0,4.0,3.0,3.0,,,22.0,1.0,2.0,2.0,27.0,27.0,May 2020
Europe,ROB JAVA CAFE,2,2887,Army,6.0,,3.0,1.0,1.0,1.0,,12.0,1.0,1.0,1.0,15.0,15.0,May 2020
Europe,SEMBACH C/C,2,3072,Army,9.0,,2.0,,5.0,3.0,,19.0,1.0,1.0,2.0,23.0,23.0,May 2020
Europe,LIVORNO C/C,4,330,Army,3.0,3.0,,4.0,3.0,,3.0,16.0,1.0,2.0,2.0,21.0,21.0,May 2020
Europe,ARENA B/C,4,2895,Army,13.0,5.0,6.0,3.0,10.0,4.0,,41.0,1.0,2.0,2.0,46.0,46.0,May 2020
Europe,DEL DIN C/C,4,3132,Army,4.0,,6.0,1.0,5.0,,,16.0,1.0,1.0,1.0,19.0,19.0,May 2020
Europe,EDELWEISS,10,2489,Army,4.0,4.0,4.0,,8.0,,3.0,23.0,1.0,2.0,2.0,28.0,28.0,May 2020
Europe,ACTION LANES,31,437,Army,7.0,,2.0,2.0,7.0,2.0,,20.0,1.0,1.0,2.0,24.0,24.0,May 2020
Europe,STORCK BRK B/C,31,438,Army,6.0,,3.0,2.0,3.0,2.0,,16.0,1.0,1.0,2.0,20.0,20.0,May 2020
Europe,GRAFFITI'S,39,2618,Navy,21.0,,3.0,,,,,24.0,1.0,2.0,2.0,29.0,29.0,May 2020
Europe,SIG B/C,40,2595,Navy,8.0,2.0,5.0,4.0,2.0,,,21.0,1.0,1.0,1.0,24.0,24.0,May 2020
Europe,JOX SPORTS BAR,40,2597,Navy,10.0,2.0,2.0,2.0,3.0,,,19.0,1.0,2.0,2.0,24.0,24.0,May 2020
Europe,CAPO OLDE TOWN,42,2588,Navy,10.0,,6.0,2.0,2.0,2.0,,22.0,1.0,1.0,2.0,26.0,26.0,May 2020
Europe,NAPLES B/C,42,2591,Navy,8.0,3.0,3.0,2.0,4.0,5.0,,25.0,1.0,1.0,2.0,29.0,29.0,May 2020
Europe,LA PLAZA,43,2600,Navy,13.0,4.0,2.0,,6.0,4.0,,29.0,1.0,1.0,2.0,33.0,33.0,May 2020
Europe,ROTA LANES,43,2601,Navy,3.0,,3.0,1.0,5.0,1.0,,13.0,1.0,1.0,1.0,16.0,16.0,May 2020
Europe,ROTA FLEET CTR,43,2605,Navy,2.0,,2.0,1.0,,,,5.0,1.0,1.0,1.0,8.0,8.0,May 2020
Europe,BOQ,43,2890,Navy,4.0,,3.0,,2.0,1.0,,10.0,1.0,1.0,1.0,13.0,13.0,May 2020
Europe,PATCH C/C,45,256,Army,25.0,3.0,7.0,4.0,11.0,5.0,,55.0,1.0,2.0,2.0,60.0,60.0,May 2020
Europe,KELLY C/C,45,280,Army,10.0,,4.0,1.0,3.0,1.0,,19.0,1.0,1.0,1.0,22.0,22.0,May 2020
Europe,GALAXY B/C,45,298,Army,6.0,2.0,3.0,1.0,10.0,2.0,,24.0,1.0,1.0,1.0,27.0,27.0,May 2020
Europe,GRAF E/C,46,413,Army,17.0,4.0,7.0,4.0,6.0,,,38.0,1.0,2.0,2.0,43.0,43.0,May 2020
Europe,HOHENFELS B/C,46,415,Army,4.0,4.0,4.0,4.0,2.0,,,18.0,1.0,2.0,2.0,23.0,23.0,May 2020
Europe,VILSECK B/C,46,417,Army,7.0,,,2.0,4.0,,,13.0,1.0,1.0,1.0,16.0,16.0,May 2020
Europe,LANGENBRUCK,46,1858,Army,11.0,4.0,4.0,,15.0,2.0,,36.0,1.0,2.0,2.0,41.0,41.0,May 2020
Europe,ALGIERS REC,46,3145,Army,6.0,,2.0,2.0,4.0,,,14.0,1.0,1.0,2.0,18.0,18.0,May 2020
Europe,THE VAULT,47,1669,Army,15.0,4.0,7.0,,15.0,2.0,,43.0,1.0,3.0,3.0,50.0,50.0,May 2020
